哦	o2，真不走运。	Oh, that's tough luck.
哼	她独自heng1着歌。	She was humming to herself.
扣	我的手提包的kou4坏了.	The catch on my handbag is broken.
无比	你肯光临使我们感到wu2bi3荣幸.	You do us a great honour by attending.
皆	人jie1有一死.	All men must die.
美妙	mei3miao4的音乐在我心中回荡。	The beautiful melody is lingering in my mind.
灵感	她的演说对于听众来说永远是ling2gan3之源。	Her speeches have ever been a fount of inspiration to her audiences.
文艺	我们的wen2yi4必须为大众所喜闻乐见。	Our literature and art ought to cater to popular taste.
打击	她丈夫一死她受到沉重的da3ji1.	She took a bad knock when her husband died.
新娘	像片上xin1niang2照得很好.	The bride comes out well (ie looks attractive) in the photographs.
仪式	抽彩yi2shi4星期六举行.	The draw for the raffle takes place on Saturday.
捏	他把黏土nie1成形。	He pinched the clay into shape.
气质	他的性格中有少许忧郁的qi4zhi4。	There is a vein of melancholy in his character.
抢劫	他声称他遭到qiang3jie2.	He made out that he had been robbed.
基地	那位海军军官让他离开ji1di4。	The naval officer asked him to stay away from the base.
打架	我不想da3jia4.	I had no stomach for a fight.
欺负	别让那些大孩子qi1fu5你, 要保护你自己!	Don't allow those big boys to bully you; stick up for yourself!
立场	他总是坚持自己的li4chang3。	He always stands his ground.
案件	这律师免费承办那个an4jian4。	The lawyer undertook the case without a fee.
动力	他没有努力工作的dong4li4。	He hasn't much incentive to work hard.
协议	我们最终达成了xie2yi4。	Finally we reached an agreement.
惩罚	他应当受到cheng2fa2。	He deserved to be punished.
动手	别跟他dong4shou3, 他揍起人来可凶了.	Don't get into a fight with him: he can really dish it out.
魔术	这纸mo2shu4般地变成了绿色。	The paper turned green as if by magic.
娃娃	那孩子（怀里）抱著玩具wa2wa5.	The child cuddled her doll (to her chest).
往事	wang3shi4一齐涌上我心头.	Memories crowded in on me.
指甲	她zhi3jia5鲜红.	Her finger-nails were blood-red.
统统	我把那旧家具tong3tong3扔掉了，真是谢天谢地！	I've thrown out all the old furniture, and good riddance!
中央	那只船划出到了河zhong1yang1.	The boat pulled out into the middle of the river.
果断	guo3duan4，决断性格或行动的坚定；坚决	Firmness of character or action; determination.
起码	食物尽管不好，但qi3ma3很便宜。	The food wasn't good, but at least it was cheap.
滋味	他现在尝到了失败的zi1wei4。	He has now tasted of failure.
解雇	他被他的老板jie3gu4了。	He was fired by his boss.
艘	这sou1船从事远洋渔业。	The ship is engaged in pelagic fishery.
天才	他是一个数学tian1cai2。	He is a mathematical genius.
清理	你应该经常qing1li3房间。	You should always clean up the room.
本身	该图表ben3shen1即很清楚.	The diagram is self-explanatory.
化妆	她hua4zhuang1太浓.	She wears far too much paint.
指望	我zhi3wang5你来安排一切。	I am banking upon you to help me with arrangements.
心疼	在你们姐妹中，我最xin1teng2你。	Of all your sisters, I love you best.
痕迹	他擦去铅笔的hen2ji4。	He erases pencil marks.
摆脱	他bai3tuo1不了精神负担。	He wasn't rid of the mental burden.
潮流	青少年经常反chao2liu2而动.	Teenagers often go against the stream.
类似	大蕉lei4si4于香蕉。	A plantain is similar to a banana.
集团	该公司以前隶属於一个国际银行ji2tuan2.	The company formerly belonged to an international banking group.
混乱	因风雪交加道路上hun4luan4不堪.	The wintry weather has caused chaos on the roads.
残酷	命运有时是can2ku4的。	Destiny is sometimes cruel.
技巧	手艺双手的ji4qiao3和能力	Skill and facility with the hands.
沉重	我觉得心头chen2zhong4。	I've got a lot on my mind.
罪犯	zui4fan4被判处死刑。	The criminal was sentenced to capital punishment.
屏幕	敌舰的影像已显现在雷达（ping2mu4）上.	Enemy ships were detected on the radar (screen).
联盟	这个lian2meng2经受了战争的严峻考验.	The alliance had been forged in the crucible of war.
拜访	他要在春节期间bai4fang3叔叔。	He is to visit his uncle during the Spring Festival.
和谐	不协调的；不he2xie2的	Lacking in harmony.
幼稚	他们嘲笑他的做法很you4zhi4。	They derided his efforts as childish.
情报	他被假qing2bao4诱骗进入敌区。	He was decoyed by a false message into enemy territory.
疾病	苍蝇能传播ji2bing4.	Flies spread disease.
野蛮	极为ye3man2的；残忍的	Extremely savage; fierce.
达成	已da2cheng2和解.	An amicable settlement was reached.
荣誉	军人应视rong2yu4重於生命吗?	Should a soldier value honour above life?
喉咙	我因为hou2long2痛没有去上班。	I was off work because of a sore throat.
感慨	他gan3kai3万千，用力握了一下她的手，离开了她。	Overcome with emotion, he pressed her hand and left her.
擅长	她shan4chang2绘画。	She is clever at painting.
人士	法律界ren2shi4对变革总是加以抵制.	The legal profession (ie lawyers) has/have always resisted change.
乘	以无穷数cheng2y.	Multiply y by infinity.
给予	该表扬就ji3yu3表扬.	Give credit where it's due.
栋	那是一dong4六层楼的房子。	That is a house of six stories.
挣扎	她zheng1zha2著想摆脱那个侵犯她的人.	She struggled to get away from her attacker.
随意	她喜欢sui2yi4送礼物。	She likes to give out presents.
带领	导游dai4ling3游客参观博物馆.	A guide conducted the visitors round the museum.
区域	他似乎现在住在这个qu1yu4。	He lives seemingly now in this area.
遥远	他在想那些日子现在已显得多麽yao2yuan3.	How distant those times seemed now, he reflected.
慈善	ci2shan4事业依靠自愿捐赠.	Charities rely on voluntary donations/contributions.
转移	导弹在护卫之下zhuan3yi2.	The missiles were moved under convoy.
码头	我们靠ma3tou5停泊.	We moored alongside the quay.
助手	我的zhu4shou3将操纵录音机.	My assistant will operate the tape-recorder.
贼	警察订下了计划捉zei2。	The police worked out a plan to catch the thief.
维生素	橙子含有wei2sheng1su4C。	Oranges contain vitamin C.
宽容	这个国王没有kuan1rong2之心，杀死了所有的犯人。	The king showed no mercy and killed all the prisoners.
磅	土豆每bang420便士.	Potatoes are 20 pence a pound.
即便	我ji2bian4听了他的解释, 仍然不明白.	Even after listening to his explanation I'm none the wiser.
依靠	盲人在很大程度上yi1kao4触觉.	Blind people rely a lot on touch.
华丽	他讲起话来辞藻过于hua2li4。	His speeches are too flowery.
争夺	士兵们为zheng1duo2每一寸土地而斗争。	The soldiers contested every inch of ground.
趴	有人发现她pa1在小屋的地板上.	She was found prostrate on the floor of the cell.
嘲笑	不要chao2xiao4他。	Don't laugh at him.
陷入	谈判xian4ru4僵局.	The negotiations have reached deadlock.
保姆	那个退休妇女是个临时bao3mu3。	That retired woman is a baby-sitter.
拼命	他为了养家不得不去pin1ming4工作。	He had to work hard for the maintenance of his family.
发觉	我fa1jue2她态度上有所转变。	I detected a change in her attitude.
异常	昨夜隔壁有些yi4chang2.	There were some strange goings-on next door last night.
残忍	取笑一个瞎子是can2ren3的。	It's cruel to make fun of a blind man.
关怀	在妻子体贴入微的guan1huai2下，他很快就痊愈了。	He recovered soon under his wife's tender loving care.
理智	他最後恢复些li3zhi4, 同意释放人质.	He was finally brought to his senses and agreed to let the hostages go.
维持	主席敲击桌子以wei2chi2秩序。	The chairman rapped on the table for order.
依赖	他越来越yi1lai4她了.	He grew increasingly to rely on her.
循环	四季xun2huan2交替。	The seasons follow each other in rotation.
珍贵	熊猫是zhen1gui4的动物。	Pandas are precious creatures.
党	他不赞成改变dang3的方针。	He deprecates changing the party's policy.
症状	十天後出现了zheng4zhuang4.	The symptoms manifested themselves ten days later.
周年	你是怎样庆祝结婚zhou1nian2纪念日的？	How did you celebrate your wedding anniversary?
毁灭	一切都hui3mie4了.	Everything was destroyed.
扮演	他化装ban4yan3一个老头儿。	He made up for the part of an old man.
哭泣	【谚】欢笑，整个世界伴你欢笑。ku1qi4，只有你独自向隅而泣。	Laugh, and the world laughs with you; Weep, and you weep alone.
天赋	他有音乐tian1fu4。	He has a gift for music.
风暴	夜间起feng1bao4了.	A storm arose during the night.
坦白	连哄带劝他才tan3bai2.	The confession had to be cajoled out of him.
考验	士兵的勇气在战斗中得到kao3yan4。	A soldier's courage is put to the proof in battle.
辉煌	那座宫殿灯火hui1huang2.	The palace was ablaze with lights.
过于	请别为此guo4yu2不快。	Please don't take it too hard.
活力	她充满了青春和huo2li4.	She is full of youth and vitality.
癌症	ai2zheng4是一种顽症。	Cancer is a kind of persistent ailment.
震惊	他逝世的消息使人zhen4jing1.	The news of his death was a bombshell.
黎明	步兵li2ming2时开始进入战斗位置.	The infantry began to deploy at dawn.
扎	我想帮忙你捆zha1东西。	I would like to help you pack.
思维	正是希腊人影响了西方人的si1wei2。	It was the Greeks who shaped the thinking of Western man.
确信	我们que4xin4能胜利。	We are confident of victory.
面子	他为人诚实，不计较mian4zi5，对于别人的批评一点也不在乎。	He has an honest nature and a thick skin, and never cares a bit about other people's criticisms.
超越	chao1yue4职权范围做某事	Go beyond one's duty in doing sth.
清晨	鸟儿在qing1chen2高声歌唱。	Birds sing loudest in the early morning.
遭遇	zao1yu4海难的水手已经被直升机救起。	The shipwrecked sailors were rescued by helicopter.
忠诚	他的zhong1cheng2无可置疑。	His loyalty is above suspicion.
平凡	ping2fan2，琐屑ping2fan2、琐屑的性质或状态	The quality or condition of being trivial.
气象	气候学对气候及其引起的现象进行的qi4xiang4研究	The meteorological study of climates and their phenomena.
流氓	那个liu2mang2靠行骗为生。	The rascal lives on the credulity of the people.
浑身	我hun2shen1疼痛。	I ache all over.
来源	这消息来自可靠的lai2yuan2。	The news comes from a reliable source.
清晰	如此痛切而qing1xi1！	Burst agonized and clear!
联络	我怎样能跟你lian2luo4上？	How can I get in touch with you?
素质	她具备做一个优秀教师的su4zhi4	She has the makings of a fine teacher.
晃	他直huang3脑袋.	His head keeps jerking.
时机	你得等候适当shi2ji1.	You'll have to watch for the right moment.
领袖	ling3xiu4或指挥官；首领	A leader or commander; a chief.
震撼	许多人到国外时，都感受到文化zhen4han4。	Many people suffered from cultural shock when they came abroad.
消除	尽量xiao1chu2一切偏见.	Try to free yourself from all prejudices.
值班	按照规定，任何时候均需有人zhi2ban1。	The rule is that someone must be on duty at all times.
证实	英国政府对这些报道不予zheng4shi2.	Whitehall is/are refusing to confirm the reports.
拨	bo1100找接线员。	Dial 100 for the operator.
正月	zheng1yue4是一年当中最冷的月份。	January is the coldest month in a year.
进攻	他们决定夜晚jin4gong1.	They decided to attack at night.
剧本	这是美国作家写的ju4ben3。	This is a play written by an American author.
本事	她有处变不惊的ben3shi5.	She has the ability to keep calm in an emergency.
成交	这笔生意应於明天顺利cheng2jiao1.	The deal should be buttoned up by tomorrow.
强迫	老板qiang3po4他做此难事。	The boss forced this difficult task upon him.
膝盖	他xi1gai4酸痛。	He has a pain in the knee.
操作	我cao1zuo4机器。	I operate a machine.
报复	他意识到黑手党要来bao4fu4他。	He thinks the Mafia are out to get him.
过度	饮酒guo4du4的人常常失去记忆。	Alcoholics often suffer from periods of oblivion.
非法	那是fei1fa3集会。	It's an unlawful assembly.
可恶	凶杀是最ke3wu4的犯罪。	Murder is the most abominable crime.
脂肪	zhi1fang2食品；zhi1fang2沉淀	Fatty food; fatty deposits.
漫长	战胜癌症的征途是man4chang2的，而且布满意想不到的困难。	The road to the conquest of cancer is long and full of pitfall.
坚定	我知道她意志jian1ding4。	I know she is steady in her purpose.
外表	他wai4biao3平庸。	He has a bland appearance.
保重	多bao3zhong4。再见。	Take care. bye!
患者	牙科医生常常给huan4zhe3补牙.	A dentist often has to fill teeth.
清洁	猫很爱qing1jie2.	Cats are cleanly animals.
揍	他的粗鲁惹得我zou4了他。	His rudeness provoked me to strike him.
哄	她hong1得婴儿一笑.	She coaxed a smile from the baby.
元素	这两种yuan2su4已经化学合成.	The two elements are synthesized by a chemical process.
政策	实行一项新zheng4ce4	Carry out a new policy.
不止	他的钱是我的三倍还bu4zhi3。	He has more than three times my money.
审判	shen3pan4延续了6天。	The trial lasted six days.
鉴于	jian4yu2税务原因，我们得组成公司。	We had to incorporate for a company for tax reasons.
选举	下届xuan3ju3我可能选她。	I may vote for her at the next election.
酒精	醉酒愉快的沉醉，如jiu3jing1	Pleasant intoxication, as from alcohol.
终究	沿这条小径走zhong1jiu1会见到大路的。	Follow the footpath and you'll eventually hit the road.
解放	jie3fang4军队获得了大部分奖牌。	The army team carried off most of the medals.
饮食	管理部门将供应yin3shi2.	The management will provide food and drink.
十足	他是个shi2zu2的怪人!	He's quite an individual!
疲惫	她因长途骑车而pi2bei4不堪.	The long cycle ride exhausted her.
保密	你已发过誓要bao3mi4.	You are under pledge of secrecy.
看待	我把他当作朋友kan4dai4。	I regard him as a friend.
防止	他们已经开始fang2zhi3犯罪行为。	They have begun to do the prevention of crime.
访问	我正盼望去fang3wen4欧洲。	I'm hoping to visit Europe.
注射	那吗啡是zhu4she4进去的.	The morphine was administered by injection.
鄙视	他拒不承担责任，我bi3shi4他。	I despise his refusing to accept responsibility.
暗示	她神秘地an4shi4著事非寻常.	She hinted darkly at strange events.
眼光	他的yan3guang1转向了电话机。	His eyes shifted to the telephone.
充实	充满信息的；内容chong1shi2的	Full of news; informative.
隐瞒	一个男人对妻子yin3man2事情是不对的。	It is wrong for a man to conceal things from his wife.
基金	我们有权处置的ji1jin1	Funds at our disposal.
民主	min2zhu3是自由的保障.	Democracy is a bulwark of freedom.
动机	他的dong4ji1是好的.	He was acting from the best of motives.
绅士	温文有礼是shen1shi4的特质。	Politeness is the attribute of a gentleman.
细胞	人体的组织是由xi4bao1构成的.	Human tissue is made up of cells.
莫名其妙	她行为古怪我感到mo4 ming2 qi2 miao4.	I was puzzled by the oddity of her behaviour.
枕头	她把zhen3tou5弄得鼓鼓的.	She plumped up the pillows.
计较	只要把它完成了，你怎么做我并不ji4jiao4。	I'm not particular how you do it as long as it gets done.
沮丧	这是一个令人ju3sang4的日子。	It's a gloomy day.
开除	校长决定kai1chu2该生以儆效尤.	The headmaster decided to make an example of the pupil and expel him from the school.
任性	我老婆有一般铁一般的ren4xing4脾气。	My wife has a whim of iron.
亚军	赢得总统杯以后，球队满怀信心地迎接联赛的冠ya4jun1决赛。	Having won the President Cup, the team got their tails up for the final of the league championship.
发射	我们已fa1she4升空.	We have lift-off.
正义	zheng4yi4一定会战胜非zheng4yi4。	Justice will prevail over injustice.
情节	那电影的qing2jie2是老掉牙的。	The film had a rather tired plot.
罐	把食品装guan4加以保存。	Food is tinned to preserve it.
记载	历史ji4zai3历代重要的事件。	History chronicles important events of the past.
回顾	她hui2gu4结婚的那一天.	She cast her mind back to her wedding-day.
消灭	我们一定要xiao1mie4恐怖主义。	We are determined to smash terrorism.
需求	我们预料xu1qiu2可能增加.	We anticipate that demand is likely to increase.
人性	ren2xing4厌恶这样的罪行。	Human nature revolts at such a crime.
煎	你较喜欢油jian1香肠吗?	Do you like fried sausages more?
灾难	这次地震是个可怕的zai1nan4。	The earthquake was a terrible catastrophe.
助理	助教学校中的zhu4li3教员	An assistant teacher in a school.
舌头	你竟敢冲我吐she2tou5!	Don't you dare stick your tongue out at me!
太空	也许tai4kong1的智慧生物已经访问过地球。	Maybe the earth has been visited by intelligent creatures from outer space.
肺	fei4是呼吸器官。	The lungs are respiratory organs.
反抗	殖民地人民fan3kang4他们的英国统治者。	The colonists revolted against their British ruler.
